category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	Dice	Dice_time	cbDice	cbDice_time	clDice	clDice_time	ccDice_0	ccDice_0_time	ccDice_1	ccDice_1_time	Betti_error_0	Betti_error_1	Betti_error_time	Betti_matching_0	Betti_matching_1	Betti_matching_time
missing_branch	LES-AV	img_1	pred_6.png	188834.0	0.0	20870.0	17410.0	0.0	2686.0	152.0	0.0	52.0			0.947633600810964	0.0022943019866943	0.92682794482492	0.2952232360839844	0.9283847917666508	0.0848598480224609	1.0	0.055405855178833	1.0	3.0867085456848145	0	0	0.0452044010162353	0.0	0.0	122.23881912231444
missing_branch	LES-AV	img_1	pred_7.png	182717.0	0.0	26987.0	16831.0	0.0	3265.0	144.0	0.0	60.0			0.9312294703902186	0.0022423267364501	0.9098895591747944	0.2964715957641601	0.911582311046118	0.0845890045166015	1.0	0.0548596382141113	1.0	3.0100302696228027	0	0	0.0444667339324951	0.0	0.0	123.04496192932127
missing_branch	LES-AV	img_1	pred_8.png	172813.0	0.0	36891.0	15843.0	0.0	4253.0	136.0	0.0	68.0			0.903557227521914	0.0022175312042236	0.8795155968478503	0.2934675216674804	0.8816605915579177	0.0829381942749023	1.0	0.0557715892791748	1.0	3.0210494995117188	0	0	0.0433545112609863	0.0	0.0	123.48353552818298
missing_branch	LES-AV	img_1	pred_9.png	167236.0	0.0	42468.0	15118.0	0.0	4978.0	130.0	0.0	74.0			0.887334854353478	0.0022275447845458	0.8560775987480993	0.2933690547943115	0.8586357698642585	0.0842468738555908	1.0	0.0545217990875244	1.0	3.0402207374572754	0	0	0.043184757232666	0.0	0.0	122.9743196964264
missing_branch	LES-AV	img_1	pred_10.png	164170.0	0.0	45534.0	14768.0	0.0	5328.0	124.0	0.0	80.0			0.8782103061459208	0.002199649810791	0.8443985197282893	0.2933340072631836	0.8471776044056907	0.0839948654174804	1.0	0.0551340579986572	1.0	3.0359108448028564	0	0	0.0432574748992919	0.0	0.0	122.66990280151369
missing_branch	LES-AV	img_1	pred_11.png	161502.0	0.0	48202.0	14395.0	0.0	5701.0	119.0	0.0	85.0			0.8701475730456943	0.0022833347320556	0.831739267510176	0.303412914276123	0.8347105041894987	0.0843923091888427	1.0	0.0569813251495361	1.0	3.0881385803222656	0	0	0.0445022583007812	0.0	0.0	123.3609778881073
missing_branch	LES-AV	img_1	pred_12.png	151448.0	0.0	58256.0	13174.0	0.0	6922.0	111.0	0.0	93.0			0.8386939571150097	0.0022168159484863	0.7883695129201402	0.2989039421081543	0.7919446949203487	0.0839293003082275	1.0	0.0568020343780517	1.0	3.154740571975708	0	0	0.0438423156738281	0.0	0.0	123.40727710723876
missing_branch	LES-AV	img_1	pred_13.png	146928.0	0.0	62776.0	12649.0	0.0	7447.0	105.0	0.0	99.0			0.8239754144328046	0.0023975372314453	0.7686869134133018	0.2964344024658203	0.7725759657963047	0.0839982032775878	1.0	0.0567095279693603	1.0	3.09720516204834	0	0	0.0443274974822998	0.0	0.0	122.47934699058531
missing_branch	LES-AV	img_1	pred_14.png	143074.0	0.0	66630.0	12096.0	0.0	8000.0	99.0	0.0	105.0			0.8111276780298091	0.002209186553955	0.7473039541708162	0.2942516803741455	0.7514910536779323	0.0834889411926269	1.0	0.0544807910919189	1.0	2.956146001815796	0	0	0.0429921150207519	0.0	0.0	123.62569046020508
missing_branch	LES-AV	img_1	pred_15.png	135795.0	0.0	73909.0	11275.0	0.0	8821.0	90.0	0.0	114.0			0.7860804228087491	0.0022146701812744	0.7142200661631817	0.2959117889404297	0.7188167415766153	0.0832064151763916	1.0	0.0558643341064453	1.0	2.987586975097656	0	0	0.0433988571166992	0.0	0.0	122.38025045394896
