category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	my_metric
false_component	Colon_cells	img_2	pred_14.png	22641.0	4335.0	0.0	1257.0	243.0	0.0	239.0	75.0	0.0		12	1
false_component	Colon_cells	img_2	pred_15.png	22641.0	4584.0	0.0	1257.0	259.0	0.0	239.0	80.0	0.0		1	1
false_component	Colon_cells	img_2	pred_16.png	22641.0	4804.0	0.0	1257.0	276.0	0.0	239.0	85.0	0.0		3	1
false_component	Colon_cells	img_2	pred_17.png	22641.0	5065.0	0.0	1257.0	288.0	0.0	239.0	90.0	0.0		18	1
false_component	Colon_cells	img_2	pred_18.png	22641.0	5276.0	0.0	1257.0	308.0	0.0	239.0	95.0	0.0		4	1
false_component	Colon_cells	img_2	pred_19.png	22641.0	5673.0	0.0	1257.0	320.0	0.0	239.0	100.0	0.0		15	1
false_component	Colon_cells	img_1	gt.png	23563.0	0.0	0.0	1374.0	0.0	0.0	279.0	0.0	0.0		0	1
false_component	Colon_cells	img_1	pred_0.png	23563.0	562.0	0.0	1374.0	22.0	0.0	279.0	6.0	0.0		2	1
false_component	Colon_cells	img_1	pred_1.png	23563.0	797.0	0.0	1374.0	38.0	0.0	279.0	11.0	0.0		11	1
false_component	Colon_cells	img_1	pred_2.png	23563.0	1183.0	0.0	1374.0	57.0	0.0	279.0	16.0	0.0		6	1
false_component	Colon_cells	img_1	pred_3.png	23563.0	1420.0	0.0	1374.0	74.0	0.0	279.0	21.0	0.0		13	1
false_component	Colon_cells	img_1	pred_4.png	23563.0	1704.0	0.0	1374.0	86.0	0.0	279.0	26.0	0.0		7	1
false_component	Colon_cells	img_1	pred_5.png	23563.0	1956.0	0.0	1374.0	100.0	0.0	279.0	31.0	0.0		14	1
false_component	Colon_cells	img_1	pred_6.png	23563.0	2214.0	0.0	1374.0	109.0	0.0	279.0	36.0	0.0		9	1
false_component	Colon_cells	img_1	pred_7.png	23563.0	2529.0	0.0	1374.0	125.0	0.0	279.0	41.0	0.0		10	1
false_component	Colon_cells	img_1	pred_8.png	23563.0	2908.0	0.0	1374.0	138.0	0.0	279.0	46.0	0.0		19	1
false_component	Colon_cells	img_1	pred_9.png	23563.0	3130.0	0.0	1374.0	157.0	0.0	279.0	51.0	0.0		20	1
false_component	Colon_cells	img_1	pred_10.png	23563.0	3252.0	0.0	1374.0	168.0	0.0	279.0	55.0	0.0		5	1
false_component	Colon_cells	img_1	pred_11.png	23563.0	3698.0	0.0	1374.0	188.0	0.0	279.0	60.0	0.0		16	1
false_component	Colon_cells	img_1	pred_12.png	23563.0	3855.0	0.0	1374.0	203.0	0.0	279.0	65.0	0.0		17	1
false_component	Colon_cells	img_1	pred_13.png	23563.0	4262.0	0.0	1374.0	216.0	0.0	279.0	70.0	0.0		8	1
false_component	Colon_cells	img_1	pred_14.png	23563.0	4381.0	0.0	1374.0	232.0	0.0	279.0	75.0	0.0		12	1
false_component	Colon_cells	img_1	pred_15.png	23563.0	4567.0	0.0	1374.0	251.0	0.0	279.0	80.0	0.0		1	1
false_component	Colon_cells	img_1	pred_16.png	23563.0	4819.0	0.0	1374.0	265.0	0.0	279.0	85.0	0.0		3	1
false_component	Colon_cells	img_1	pred_17.png	23563.0	5063.0	0.0	1374.0	278.0	0.0	279.0	90.0	0.0		18	1
false_component	Colon_cells	img_1	pred_18.png	23563.0	5369.0	0.0	1374.0	298.0	0.0	279.0	95.0	0.0		4	1
false_component	Colon_cells	img_1	pred_19.png	23563.0	5757.0	0.0	1374.0	311.0	0.0	279.0	100.0	0.0		15	1
false_component	CREMI	img_0	gt.png	25478.0	0.0	0.0	8960.0	0.0	0.0	3.0	0.0	0.0		0	1
false_component	CREMI	img_0	pred_0.png	25478.0	154.0	0.0	8960.0	40.0	0.0	3.0	6.0	0.0		2	1
false_component	CREMI	img_0	pred_1.png	25478.0	218.0	0.0	8960.0	58.0	0.0	3.0	11.0	0.0		11	1
false_component	CREMI	img_0	pred_2.png	25478.0	277.0	0.0	8960.0	74.0	0.0	3.0	16.0	0.0		6	1
false_component	CREMI	img_0	pred_3.png	25478.0	360.0	0.0	8960.0	94.0	0.0	3.0	21.0	0.0		13	1
false_component	CREMI	img_0	pred_4.png	25478.0	487.0	0.0	8960.0	134.0	0.0	3.0	26.0	0.0		7	1
false_component	CREMI	img_0	pred_5.png	25478.0	577.0	0.0	8960.0	157.0	0.0	3.0	31.0	0.0		14	1
false_component	CREMI	img_0	pred_6.png	25478.0	641.0	0.0	8960.0	175.0	0.0	3.0	36.0	0.0		9	1
false_component	CREMI	img_0	pred_7.png	25478.0	701.0	0.0	8960.0	191.0	0.0	3.0	41.0	0.0		10	1
false_component	CREMI	img_0	pred_8.png	25478.0	783.0	0.0	8960.0	213.0	0.0	3.0	46.0	0.0		19	1
false_component	CREMI	img_0	pred_9.png	25478.0	855.0	0.0	8960.0	231.0	0.0	3.0	51.0	0.0		20	1
false_component	CREMI	img_0	pred_10.png	25478.0	928.0	0.0	8960.0	248.0	0.0	3.0	55.0	0.0		5	1
false_component	CREMI	img_0	pred_11.png	25478.0	1010.0	0.0	8960.0	273.0	0.0	3.0	60.0	0.0		16	1
false_component	CREMI	img_0	pred_12.png	25478.0	1068.0	0.0	8960.0	292.0	0.0	3.0	65.0	0.0		17	1
false_component	CREMI	img_0	pred_13.png	25478.0	1142.0	0.0	8960.0	309.0	0.0	3.0	70.0	0.0		8	1
false_component	CREMI	img_0	pred_14.png	25478.0	1221.0	0.0	8960.0	334.0	0.0	3.0	75.0	0.0		12	1
false_component	CREMI	img_0	pred_15.png	25478.0	1271.0	0.0	8960.0	348.0	0.0	3.0	80.0	0.0		1	1
false_component	CREMI	img_0	pred_16.png	25478.0	1317.0	0.0	8960.0	359.0	0.0	3.0	85.0	0.0		3	1
false_component	CREMI	img_0	pred_17.png	25478.0	1406.0	0.0	8960.0	381.0	0.0	3.0	90.0	0.0		18	1
false_component	CREMI	img_0	pred_18.png	25478.0	1477.0	0.0	8960.0	400.0	0.0	3.0	95.0	0.0		4	1
false_component	CREMI	img_0	pred_19.png	25478.0	1540.0	0.0	8960.0	418.0	0.0	3.0	100.0	0.0		15	1
false_component	CREMI	img_2	gt.png	25641.0	0.0	0.0	9016.0	0.0	0.0	4.0	0.0	0.0		0	1
false_component	CREMI	img_2	pred_0.png	25641.0	84.0	0.0	9016.0	25.0	0.0	4.0	6.0	0.0		2	1
false_component	CREMI	img_2	pred_1.png	25641.0	180.0	0.0	9016.0	50.0	0.0	4.0	11.0	0.0		11	1
false_component	CREMI	img_2	pred_2.png	25641.0	285.0	0.0	9016.0	75.0	0.0	4.0	16.0	0.0		6	1
false_component	CREMI	img_2	pred_3.png	25641.0	346.0	0.0	9016.0	90.0	0.0	4.0	21.0	0.0		13	1
false_component	CREMI	img_2	pred_4.png	25641.0	397.0	0.0	9016.0	102.0	0.0	4.0	26.0	0.0		7	1
false_component	CREMI	img_2	pred_5.png	25641.0	508.0	0.0	9016.0	131.0	0.0	4.0	31.0	0.0		14	1
false_component	CREMI	img_2	pred_6.png	25641.0	547.0	0.0	9016.0	142.0	0.0	4.0	36.0	0.0		9	1
false_component	CREMI	img_2	pred_7.png	25641.0	614.0	0.0	9016.0	158.0	0.0	4.0	41.0	0.0		10	1
false_component	CREMI	img_2	pred_8.png	25641.0	658.0	0.0	9016.0	172.0	0.0	4.0	46.0	0.0		19	1
false_component	CREMI	img_2	pred_9.png	25641.0	705.0	0.0	9016.0	185.0	0.0	4.0	51.0	0.0		20	1
false_component	CREMI	img_2	pred_10.png	25641.0	791.0	0.0	9016.0	212.0	0.0	4.0	55.0	0.0		5	1
false_component	CREMI	img_2	pred_11.png	25641.0	871.0	0.0	9016.0	230.0	0.0	4.0	60.0	0.0		16	1
false_component	CREMI	img_2	pred_12.png	25641.0	957.0	0.0	9016.0	251.0	0.0	4.0	65.0	0.0		17	1
false_component	CREMI	img_2	pred_13.png	25641.0	1028.0	0.0	9016.0	273.0	0.0	4.0	70.0	0.0		8	1
false_component	CREMI	img_2	pred_14.png	25641.0	1105.0	0.0	9016.0	298.0	0.0	4.0	75.0	0.0		12	1
false_component	CREMI	img_2	pred_15.png	25641.0	1178.0	0.0	9016.0	317.0	0.0	4.0	80.0	0.0		1	1
false_component	CREMI	img_2	pred_16.png	25641.0	1227.0	0.0	9016.0	328.0	0.0	4.0	85.0	0.0		3	1
false_component	CREMI	img_2	pred_17.png	25641.0	1284.0	0.0	9016.0	345.0	0.0	4.0	90.0	0.0		18	1
false_component	CREMI	img_2	pred_18.png	25641.0	1341.0	0.0	9016.0	357.0	0.0	4.0	95.0	0.0		4	1
false_component	CREMI	img_2	pred_19.png	25641.0	1377.0	0.0	9016.0	368.0	0.0	4.0	100.0	0.0		15	1
false_component	CREMI	img_1	gt.png	25520.0	0.0	0.0	8892.0	0.0	0.0	5.0	0.0	0.0		0	1
false_component	CREMI	img_1	pred_0.png	25520.0	102.0	0.0	8892.0	30.0	0.0	5.0	6.0	0.0		2	1
false_component	CREMI	img_1	pred_1.png	25520.0	163.0	0.0	8892.0	42.0	0.0	5.0	11.0	0.0		11	1
false_component	CREMI	img_1	pred_2.png	25520.0	217.0	0.0	8892.0	58.0	0.0	5.0	16.0	0.0		6	1
